_id,Timestamp,Redemption Count,Sales Count
1,2024-09-23T21:45:00,1,0
2,2024-09-23T21:30:00,5,1
3,2024-09-23T21:15:00,7,22
4,2024-09-23T21:00:00,5,5
5,2024-09-23T20:45:00,4,3
6,2024-09-23T20:30:00,18,12
7,2024-09-23T20:15:00,6,5
8,2024-09-23T20:00:00,10,8
9,2024-09-23T19:45:00,5,4
10,2024-09-23T19:30:00,14,10
11,2024-09-23T19:15:00,5,10
12,2024-09-23T19:00:00,11,11
13,2024-09-23T18:45:00,5,8
14,2024-09-23T18:30:00,37,14
15,2024-09-23T18:15:00,26,40
16,2024-09-23T18:00:00,39,32
17,2024-09-23T17:45:00,21,16
18,2024-09-23T17:30:00,39,28
19,2024-09-23T17:15:00,28,26
20,2024-09-23T17:00:00,36,37
21,2024-09-23T16:45:00,46,38
22,2024-09-23T16:30:00,60,70
23,2024-09-23T16:15:00,48,38
24,2024-09-23T16:00:00,51,36
25,2024-09-23T15:45:00,52,49
26,2024-09-23T15:30:00,36,33
27,2024-09-23T15:15:00,23,22
28,2024-09-23T15:00:00,48,45
29,2024-09-23T14:45:00,31,30
30,2024-09-23T14:30:00,57,52
31,2024-09-23T14:15:00,53,49
32,2024-09-23T14:00:00,50,36
33,2024-09-23T13:45:00,27,25
34,2024-09-23T13:30:00,50,54
35,2024-09-23T13:15:00,39,32
36,2024-09-23T13:00:00,47,53
37,2024-09-23T12:45:00,25,24
38,2024-09-23T12:30:00,35,22
39,2024-09-23T12:15:00,25,19
40,2024-09-23T12:00:00,18,11
41,2024-09-23T11:45:00,39,53
42,2024-09-23T11:30:00,27,25
43,2024-09-23T11:15:00,27,46
44,2024-09-23T11:00:00,22,104
45,2024-09-23T10:45:00,143,135
46,2024-09-23T10:30:00,29,18
47,2024-09-23T10:15:00,43,18
48,2024-09-23T10:00:00,27,29
49,2024-09-23T09:45:00,12,11
50,2024-09-23T09:30:00,10,15
51,2024-09-23T09:15:00,9,1
52,2024-09-23T09:00:00,6,3
53,2024-09-23T08:45:00,5,7
54,2024-09-23T08:30:00,10,0
55,2024-09-23T08:15:00,36,13
56,2024-09-23T08:00:00,12,10
57,2024-09-23T07:45:00,1,3
58,2024-09-23T07:30:00,12,5
59,2024-09-23T07:15:00,4,5
60,2024-09-23T07:00:00,6,1
61,2024-09-23T06:45:00,13,11
62,2024-09-23T06:30:00,7,2
63,2024-09-23T03:00:00,0,1
64,2024-09-23T01:00:00,0,1
65,2024-09-22T23:15:00,1,1
66,2024-09-22T23:00:00,5,3
67,2024-09-22T22:45:00,0,2
68,2024-09-22T22:30:00,3,2
69,2024-09-22T22:15:00,2,1
70,2024-09-22T22:00:00,11,11
71,2024-09-22T21:45:00,3,3
72,2024-09-22T21:30:00,4,3
73,2024-09-22T21:15:00,7,5
74,2024-09-22T21:00:00,12,15
75,2024-09-22T20:45:00,5,6
76,2024-09-22T20:30:00,23,10
77,2024-09-22T20:15:00,7,4
78,2024-09-22T20:00:00,11,11
79,2024-09-22T19:45:00,27,22
80,2024-09-22T19:30:00,35,56
81,2024-09-22T19:15:00,45,44
82,2024-09-22T19:00:00,46,47
83,2024-09-22T18:45:00,64,66
84,2024-09-22T18:30:00,73,67
85,2024-09-22T18:15:00,86,74
86,2024-09-22T18:00:00,99,81
87,2024-09-22T17:45:00,111,82
88,2024-09-22T17:30:00,140,128
89,2024-09-22T17:15:00,121,114
90,2024-09-22T17:00:00,149,148
91,2024-09-22T16:45:00,111,82
92,2024-09-22T16:30:00,124,114
93,2024-09-22T16:15:00,163,147
94,2024-09-22T16:00:00,201,202
95,2024-09-22T15:45:00,142,135
96,2024-09-22T15:30:00,232,194
97,2024-09-22T15:15:00,245,245
98,2024-09-22T15:00:00,182,173
99,2024-09-22T14:45:00,180,190
100,2024-09-22T14:30:00,263,191
101,2024-09-22T14:15:00,197,153
102,2024-09-22T14:00:00,201,175
103,2024-09-22T13:45:00,196,180
104,2024-09-22T13:30:00,238,207
105,2024-09-22T13:15:00,251,211
106,2024-09-22T13:00:00,242,199
107,2024-09-22T12:45:00,223,197
108,2024-09-22T12:30:00,231,216
109,2024-09-22T12:15:00,240,213
110,2024-09-22T12:00:00,261,213
111,2024-09-22T11:45:00,178,217
112,2024-09-22T11:30:00,173,130
113,2024-09-22T11:15:00,139,115
114,2024-09-22T11:00:00,210,170
115,2024-09-22T10:45:00,151,142
116,2024-09-22T10:30:00,187,150
117,2024-09-22T10:15:00,200,178
118,2024-09-22T10:00:00,114,101
119,2024-09-22T09:45:00,77,85
120,2024-09-22T09:30:00,121,92
121,2024-09-22T09:15:00,45,51
122,2024-09-22T09:00:00,63,67
123,2024-09-22T08:45:00,19,49
124,2024-09-22T08:30:00,8,43
125,2024-09-22T08:15:00,34,29
126,2024-09-22T08:00:00,15,23
127,2024-09-22T07:45:00,2,9
128,2024-09-22T07:30:00,4,10
129,2024-09-22T07:15:00,1,22
130,2024-09-22T07:00:00,6,5
131,2024-09-22T06:45:00,2,3
132,2024-09-22T06:30:00,2,6
133,2024-09-22T06:15:00,0,3
134,2024-09-22T04:45:00,0,2
135,2024-09-22T02:45:00,0,3
136,2024-09-22T01:30:00,0,2
137,2024-09-22T01:15:00,0,8
138,2024-09-22T01:00:00,0,4
139,2024-09-22T00:30:00,0,10
140,2024-09-22T00:15:00,0,6
141,2024-09-22T00:00:00,0,12
142,2024-09-21T23:45:00,0,6
143,2024-09-21T23:30:00,2,12
144,2024-09-21T23:15:00,1,3
145,2024-09-21T23:00:00,7,6
146,2024-09-21T22:45:00,0,21
147,2024-09-21T22:30:00,11,23
148,2024-09-21T22:15:00,4,3
149,2024-09-21T22:00:00,1,18
150,2024-09-21T21:45:00,5,12
151,2024-09-21T21:30:00,7,13
152,2024-09-21T21:15:00,4,9
153,2024-09-21T21:00:00,8,6
154,2024-09-21T20:45:00,24,39
155,2024-09-21T20:30:00,27,20
156,2024-09-21T20:15:00,31,33
157,2024-09-21T20:00:00,29,35
158,2024-09-21T19:45:00,2,8
159,2024-09-21T19:30:00,17,22
160,2024-09-21T19:15:00,30,35
161,2024-09-21T19:00:00,83,70
162,2024-09-21T18:45:00,103,116
163,2024-09-21T18:30:00,101,96
164,2024-09-21T18:15:00,96,68
165,2024-09-21T18:00:00,106,108
166,2024-09-21T17:45:00,147,139
167,2024-09-21T17:30:00,153,156
168,2024-09-21T17:15:00,190,171
169,2024-09-21T17:00:00,189,173
170,2024-09-21T16:45:00,239,189
171,2024-09-21T16:30:00,191,216
172,2024-09-21T16:15:00,192,177
173,2024-09-21T16:00:00,256,229
174,2024-09-21T15:45:00,234,221
175,2024-09-21T15:30:00,232,230
176,2024-09-21T15:15:00,238,194
177,2024-09-21T15:00:00,281,256
178,2024-09-21T14:45:00,160,179
179,2024-09-21T14:30:00,214,163
180,2024-09-21T14:15:00,241,241
181,2024-09-21T14:00:00,249,188
182,2024-09-21T13:45:00,148,161
183,2024-09-21T13:30:00,275,208
184,2024-09-21T13:15:00,226,203
185,2024-09-21T13:00:00,186,189
186,2024-09-21T12:45:00,190,170
187,2024-09-21T12:30:00,211,212
188,2024-09-21T12:15:00,187,159
189,2024-09-21T12:00:00,214,167
190,2024-09-21T11:45:00,98,161
191,2024-09-21T11:30:00,155,138
192,2024-09-21T11:15:00,139,137
193,2024-09-21T11:00:00,127,141
194,2024-09-21T10:45:00,94,94
195,2024-09-21T10:30:00,146,149
196,2024-09-21T10:15:00,176,147
197,2024-09-21T10:00:00,65,60
198,2024-09-21T09:45:00,42,77
199,2024-09-21T09:30:00,98,75
200,2024-09-21T09:15:00,82,52
201,2024-09-21T09:00:00,26,65
202,2024-09-21T08:45:00,47,16
203,2024-09-21T08:30:00,11,37
204,2024-09-21T08:15:00,15,15
205,2024-09-21T08:00:00,15,40
206,2024-09-21T07:45:00,3,20
207,2024-09-21T07:30:00,3,8
208,2024-09-21T07:15:00,1,2
209,2024-09-21T07:00:00,4,6
210,2024-09-21T06:45:00,4,3
211,2024-09-21T06:30:00,12,12
212,2024-09-21T06:15:00,0,2
213,2024-09-21T06:00:00,0,2
214,2024-09-21T05:30:00,0,2
215,2024-09-21T04:15:00,0,2
216,2024-09-21T02:30:00,0,2
217,2024-09-21T02:00:00,0,7
218,2024-09-21T01:45:00,0,6
219,2024-09-21T01:30:00,0,5
220,2024-09-21T01:15:00,0,2
221,2024-09-21T01:00:00,0,4
222,2024-09-21T00:45:00,0,7
223,2024-09-21T00:30:00,0,3
224,2024-09-21T00:15:00,0,15
225,2024-09-21T00:00:00,0,5
226,2024-09-20T23:45:00,0,13
227,2024-09-20T23:30:00,7,21
228,2024-09-20T23:15:00,1,5
229,2024-09-20T23:00:00,5,10
230,2024-09-20T22:45:00,1,12
231,2024-09-20T22:30:00,5,8
232,2024-09-20T22:15:00,2,26
233,2024-09-20T22:00:00,10,26
234,2024-09-20T21:45:00,13,23
235,2024-09-20T21:30:00,14,18
236,2024-09-20T21:15:00,18,38
237,2024-09-20T21:00:00,12,22
238,2024-09-20T20:45:00,15,23
239,2024-09-20T20:30:00,63,33
240,2024-09-20T20:15:00,19,31
241,2024-09-20T20:00:00,10,26
242,2024-09-20T19:45:00,23,29
243,2024-09-20T19:30:00,35,30
244,2024-09-20T19:15:00,34,30
245,2024-09-20T19:00:00,50,86
246,2024-09-20T18:45:00,52,53
247,2024-09-20T18:30:00,62,69
248,2024-09-20T18:15:00,103,101
249,2024-09-20T18:00:00,62,56
250,2024-09-20T17:45:00,69,73
251,2024-09-20T17:30:00,150,133
252,2024-09-20T17:15:00,69,96
253,2024-09-20T17:00:00,40,45
254,2024-09-20T16:45:00,75,73
255,2024-09-20T16:30:00,115,84
256,2024-09-20T16:15:00,84,78
257,2024-09-20T16:00:00,130,114
258,2024-09-20T15:45:00,218,251
259,2024-09-20T15:30:00,122,134
260,2024-09-20T15:15:00,89,78
261,2024-09-20T15:00:00,112,199
262,2024-09-20T14:45:00,69,70
263,2024-09-20T14:30:00,120,113
264,2024-09-20T14:15:00,106,103
265,2024-09-20T14:00:00,133,130
266,2024-09-20T13:45:00,119,86
267,2024-09-20T13:30:00,120,88
268,2024-09-20T13:15:00,136,116
269,2024-09-20T13:00:00,94,88
270,2024-09-20T12:45:00,105,102
271,2024-09-20T12:30:00,80,80
272,2024-09-20T12:15:00,81,80
273,2024-09-20T12:00:00,125,119
274,2024-09-20T11:45:00,91,83
275,2024-09-20T11:30:00,85,69
276,2024-09-20T11:15:00,93,108
277,2024-09-20T11:00:00,96,82
278,2024-09-20T10:45:00,42,63
279,2024-09-20T10:30:00,161,94
280,2024-09-20T10:15:00,107,67
281,2024-09-20T10:00:00,53,63
282,2024-09-20T09:45:00,99,50
283,2024-09-20T09:30:00,105,37
284,2024-09-20T09:15:00,24,31
285,2024-09-20T09:00:00,29,37
286,2024-09-20T08:45:00,14,13
287,2024-09-20T08:30:00,26,15
288,2024-09-20T08:15:00,15,10
289,2024-09-20T08:00:00,17,16
290,2024-09-20T07:45:00,5,3
291,2024-09-20T07:30:00,15,8
292,2024-09-20T07:15:00,10,9
293,2024-09-20T07:00:00,3,5
294,2024-09-20T06:45:00,8,4
295,2024-09-20T06:30:00,11,11
296,2024-09-20T06:00:00,0,1
297,2024-09-20T04:45:00,0,22
298,2024-09-20T03:30:00,0,2
299,2024-09-20T02:30:00,0,3
300,2024-09-20T01:45:00,0,2
301,2024-09-20T00:15:00,0,18
302,2024-09-20T00:00:00,0,1
303,2024-09-19T23:45:00,0,5
304,2024-09-19T23:30:00,6,0
305,2024-09-19T23:15:00,2,4
306,2024-09-19T23:00:00,8,12
307,2024-09-19T22:45:00,10,8
308,2024-09-19T22:30:00,2,17
309,2024-09-19T22:15:00,2,11
310,2024-09-19T22:00:00,2,12
311,2024-09-19T21:45:00,7,12
312,2024-09-19T21:30:00,27,43
313,2024-09-19T21:15:00,7,9
314,2024-09-19T21:00:00,4,11
315,2024-09-19T20:45:00,7,8
316,2024-09-19T20:30:00,29,27
317,2024-09-19T20:15:00,19,20
